,0
486,16.973133
487,17.294882
488,12.462015
489,13.748361
490,10.976675
491,11.4041
492,8.976701
493,17.178785
494,11.973827
495,11.379665
496,11.767326
497,18.995762
498,16.054369
499,25.577497
500,27.89065
501,31.849802
502,29.279076
503,28.675539
504,24.036924
505,20.4917
506,18.333397
507,18.479532
508,15.66287
509,12.40824
510,11.487629
511,13.604202
512,14.408529
513,10.437656
514,10.461972
515,8.296877
516,8.895483
517,10.252312
518,14.623717
519,15.398392
520,13.200714
521,14.030199
522,21.786205
523,25.750982
524,29.749392
525,29.394245
526,30.8453
527,27.91625
528,25.353456
529,21.122383
530,20.295046
531,18.0989
532,18.08859
533,17.629337
534,17.611317
535,15.411597
536,12.282253
537,8.78008
538,6.009577
539,7.6379476
540,9.926579
541,10.342943
542,9.846887
543,9.274911
544,8.976189
545,12.571704
546,15.610676
547,20.563667
548,24.824331
549,27.84932
550,26.085503
551,23.578869
552,18.810835
553,15.094332
554,14.20516
555,13.968899
556,10.917547
557,10.194826
558,10.994442
559,11.2387
560,11.1893
561,13.785006
562,13.757501
563,12.606315
564,11.686815
565,15.173235
566,12.665623
567,13.484667
568,16.535553
569,19.913763
570,22.949192
571,27.649483
572,33.26431
573,33.76899
574,34.56731
575,31.35943
576,27.852158
577,23.994242
578,23.525928
579,20.929848
580,20.01503
581,15.436253
582,14.262727
583,14.273341
584,12.647112
585,12.098703
586,14.033454
587,11.471461
588,11.676931
589,14.741203
590,15.535015
591,15.284827
592,17.997797
593,20.737041
594,22.489506
595,29.969793
596,33.914707
597,36.720924
598,37.77745
599,36.507046
600,32.748215
601,27.714342
602,25.561068
603,25.952343
604,27.770838
605,28.425669
606,28.672937
607,25.032988
608,21.803213
609,15.73181
610,11.991007
611,16.065659
612,19.444567
613,17.353712
614,15.481737
615,18.729599
616,17.809727
617,19.476952
618,24.056942
619,32.252857
620,34.125004
621,35.548306
622,35.091335
623,32.428883
624,28.629045
625,23.724716
626,23.040203
627,21.778894
628,19.983452
629,20.097858
630,22.196503
631,21.47545
632,17.709003
633,17.243528
634,14.54905
635,13.905017
636,14.302293
637,19.31548
638,12.93965
639,10.4711485
640,10.194595
641,15.142085
642,15.996856
643,23.312778
644,27.679632
645,30.887762
646,34.20087
647,36.237114
648,36.26434
649,33.606297
650,30.966434
651,29.724985
652,30.789562
653,33.102962
654,34.93101
655,34.403637
656,30.390936
657,23.531122
658,16.74666
659,13.022297
660,11.282218
661,9.825288
662,7.7903285
663,6.8703914
664,5.4243417
665,10.366353
666,12.453976
667,19.732622
668,18.454744
669,23.652777
670,23.20556
671,27.04822
672,23.469564
673,22.498566
674,19.561773
675,19.32435
676,18.179585
677,16.829306
678,17.411743
679,16.085457
680,12.684819
681,7.6754246
682,3.3829327
683,3.405103
684,4.3393626
685,5.454811
686,6.0880356
687,5.696915
688,5.458274
689,6.383047
690,7.4048853
691,13.194762
692,18.075315
693,20.858822
694,21.547457
695,20.844133
696,19.755518
697,18.280556
698,18.743536
699,21.046452
700,24.20133
701,27.234446
702,26.693384
703,22.684849
704,16.306808
705,10.108635
706,7.3106475
707,8.083841
708,10.285949
709,6.4851947
710,4.316868
711,1.044138
712,-0.4045414
713,-0.91204834
714,-0.064788096
715,1.4648839
716,11.358231
717,15.816105
718,12.916418
719,11.680118
720,3.7348373
721,3.5216331
722,3.9583411
723,9.651765
724,8.428403
725,15.959762
726,15.819819
727,14.363372
728,6.361303
729,3.8174849
730,3.7992103
731,5.5624037
732,5.196008
733,4.339415
734,3.6708286
735,4.4635463
736,5.7116795
737,7.0538907
738,9.808715
739,12.673724
740,18.100122
741,21.817783
742,25.667974
743,25.00755
744,24.480276
745,21.30822
746,19.532272
747,19.354504
748,20.864906
749,21.183146
750,21.560652
751,21.220785
752,17.602057
753,10.98729
754,4.173996
755,3.6821473
756,3.323027
757,4.240042
758,5.2783422
759,8.238396
760,10.239009
761,12.704752
762,12.006379
763,16.453442
764,22.0029
765,25.890388
766,26.67937
767,24.967941
768,21.902433
769,17.647133
770,16.268864
771,17.505402
772,19.556623
773,20.175495
774,19.243086
775,18.161972
776,13.174177
777,6.223395
778,3.9193041
779,4.3923573
780,5.4590006
781,6.871754
782,6.064307
783,7.5549808
784,9.052734
785,9.734996
786,11.9400625
787,18.025658
788,23.270954
789,27.422342
790,30.986961
791,29.616077
792,26.581196
793,21.727657
794,18.620644
795,18.417595
796,21.544884
797,21.469255
798,21.729992
799,19.815475
800,16.618202
801,10.677626
802,6.2313795
803,6.8660426
804,9.773448
805,10.568554
806,9.019952
807,8.027229
808,6.141471
809,7.141023
810,8.740451
811,15.19798
812,18.009995
813,21.803452
814,22.693449
815,22.511272
816,21.587494
817,20.444704
818,19.529964
819,20.085112
820,21.462044
821,25.69559
822,27.314507
823,28.905579
824,24.340708
825,19.709717
826,12.484101
827,7.086118
828,4.589364
829,4.287657
830,3.0513687
831,0.42740837
832,-0.60749364
833,-1.05965
834,-1.0383426
835,5.6360154
836,9.545218
837,7.100706
838,4.7793174
839,3.8441353
840,4.007889
841,4.317805
842,8.30287
843,12.261045
844,9.541725
845,11.602021
846,15.328977
847,15.413906
848,9.939931
849,8.695496
850,7.35426
851,6.023715
852,4.8293114
853,5.304735
854,5.2463727
855,5.482577
856,6.8030024
857,8.794758
858,9.667556
859,12.010679
860,17.27907
861,22.12772
862,23.90686
863,23.861473
864,21.95547
865,19.867687
866,17.813799
867,16.757578
868,15.74819
869,14.295182
870,11.32734
871,9.030499
